product_category_name_english,price,product_id
computers,1098.3405418719212,203
small_appliances_home_oven_and_coffee,624.2856578947368,76
home_appliances_2,476.1249579831933,238
agro_industry_and_commerce,342.12485849056606,212
musical_instruments,281.616,680
small_appliances,280.7784683357879,679
fixed_telephony,225.6931818181818,264
construction_tools_safety,208.9923711340206,194
watches_gifts,201.13598397596394,5991
air_conditioning,185.26922558922558,297
furniture_bedroom,183.75027522935778,109
cool_stuff,167.357968914647,3796
kitchen_dining_laundry_garden_furniture,164.8696441281139,281
office_furniture,162.0110585452395,1691
music,158.79868421052632,38
construction_tools_construction,155.7347578040904,929
costruction_tools_tools,154.40728155339806,103
industry_commerce_and_business,148.0209328358209,268
la_cuisine,146.785,14
security_and_services,141.64499999999998,2
auto,139.9575230224321,4235
audio,139.25412087912088,364
consoles_games,138.49183817062445,1137
home_construction,137.56311258278146,604
furniture_living_room,137.0110536779324,503
construction_tools_lights,135.1315789473684,304
home_confort,134.95861751152074,434
baby,133.7568178851175,3064
health_beauty,130.16353050672183,9670
luggage_accessories,128.5988827838828,1092
toys,117.54836045664318,4117
perfumery,116.73731207955542,3419
computers_accessories,116.51390315574294,7827
art,115.8021052631579,209
furniture_mattress_and_upholstery,114.94947368421053,38
sports_leisure,114.34428538363615,8641
garden_tools,111.63019553715206,4347
pet_shop,110.0746841294299,1947
signaling_and_security,108.08658291457286,199
costruction_tools_garden,108.04995798319328,238
party_supplies,104.30651162790699,43
home_appliances,103.98382619974059,771
cine_photo,96.29805555555555,72
bed_bath_table,95.73741910085819,12701
dvds_blu_ray,93.74046875,64
stationery,91.75336909018674,2517
market_place,91.2490996784566,311
housewares,90.78814761631247,6964
tablets_printing_image,90.70373493975903,83
fashion_shoes,89.93423664122137,262
furniture_decor,87.56449364050876,8334
books_general_interest,84.73215189873417,553
fashion_male_clothing,81.80166666666666,132
books_imported,77.33083333333335,60
arts_and_craftmanship,75.58375,24
fashion_bags_accessories,75.24546528803546,2031
fashion_underwear_beach,72.83625954198473,131
books_technical,71.52082397003745,267
fashion_childrens_clothes,71.23125,8
telephony,71.21397799779977,4545
fashion_sport,70.65033333333334,30
drinks,59.178627968337736,379
fashio_female_clothing,58.409166666666664,48
electronics,57.913530899891576,2767
food,57.63413725490196,510
christmas_supplies,57.52169934640523,153
food_drink,54.602446043165465,278
cds_dvds_musicals,52.142857142857146,14
diapers_and_hygiene,40.19461538461538,39
flowers,33.63757575757575,33
home_comfort_2,25.342333333333332,30
